Vid.Name,Location,Group,Year,Month,Total.forage.behaviors,Total.flowers.visited,Avg.Temp,Max.Temp,Min.Temp,Temp.during,humidity.at.time,flowers.in.bloom
Vid1LFjun62019,Laf,Urban,2019,Jun,3,8,81,95,66,88,52,33
JuneHLLF1,Laf,Urban,2019,Jun,2,6,78.2,92,70,89,55,33
vid1_LF_jun2721,Laf,Urban,2021,Jun,3,1,79,90,75,87,61,13
vid8_LF_jul2821,Laf,Urban,2021,Jul,4,3,85,94,74,89,53,8
vid1_LF_jul2821,Laf,Urban,2021,Jul,3,7,85,94,74,89,53,8
vid5_LF_Jul621,Laf,Urban,2021,Jul,4,2,84,91,74,89,46,8
Jun2LFvid2,Laf,Urban,2020,Jun,2,8,77.63,77.63,77.63,82,53,33
vid3_LFjun921,Laf,Urban,2021,Jun,1,4,77,86,71,81,67,11
vid7_LF_Jul621,Laf,Urban,2021,Jul,4,4,84,91,74,89,46,8
JulyHLLF3,Laf,Urban,2019,Jul,2,3,80.54,88,72,84,53,18
Aug25LF3,Laf,Urban,2020,Aug,2,2,85,94,77,91,50,14
vid2_LF_jun2721,Laf,Urban,2021,Jun,2,3,79,90,75,87,61,13
vid4_LF_jun2721,Laf,Urban,2021,Jun,2,2,79,90,75,87,61,13
vid3_LF_jun2721,Laf,Urban,2021,Jun,2,1,79,90,75,87,61,13
vid1_LF_sept2821,Laf,Urban,2021,Sept,2,1,78,90,68,84,44,8
Sept7LF3,Laf,Urban,2020,Sept,3,4,82,91,75,88,57,8
vid2_LFaug2021,Laf,Urban,2021,Aug,2,1,83,91,75,88,55,9
Jul23LF2,Laf,Urban,2020,Jul,1,1,79.5,88,72,87,67,18
AUGHLLF4,Laf,Urban,2019,Aug,1,2,79.3,93,69,88,61,14
vid1_LF_aug1121,Laf,Urban,2021,Aug,1,2,88,96,81,91,51,9
vid2_LF_Jun2021,Laf,Urban,2021,Jun,2,3,84,92,76,90,57,13
Aug2LF,Laf,Urban,2020,Aug,1,2,76,86,68,82,60,14
Jul16LF2,Laf,Urban,2020,Jul,1,1,75.21,86,69,81,65,18
vid5_LFaug2021,Laf,Urban,2021,Aug,1,1,83,91,75,88,55,9
Aug25LF2,Laf,Urban,2020,Aug,1,1,85,94,77,91,50,14
vid5_LF_jun2721,Laf,Urban,2021,Jun,3,1,79,90,75,87,61,13
Vid3LFJun202019,Laf,Urban,2019,Jun,3,7,81,93,71,76,42,33
Jun2LFvid5,Laf,Urban,2020,Jun,2,4,77.63,77.63,77.63,82,53,33
Jul23LF,Laf,Urban,2020,Jul,3,1,79.5,88,72,87,67,18
Aug2LF3,Laf,Urban,2020,Aug,3,3,76,86,68,82,60,14
vid1_LF_Jul621,Laf,Urban,2021,Jul,3,1,84,91,74,89,46,8
Jul23LF4,Laf,Urban,2020,Jul,2,3,79.5,88,72,87,67,18
Aug2LF2,Laf,Urban,2020,Aug,1,4,76,86,68,82,60,14
AUGHLLF3,Laf,Urban,2019,Aug,3,4,78.8,89,71,87,61,14
vid1_LFjun321,Laf,Urban,2021,Jun,3,2,74,83,65,81,42,11
JulyHLLF1,Laf,Urban,2019,Jul,3,2,80.54,88,72,84,53,18
vid5_LF_Jun2021,Laf,Urban,2021,Jun,3,2,84,92,76,90,57,13
JulyHLLF2,Laf,Urban,2019,Jul,3,5,80.54,88,72,84,53,18
vid2_LF_jul2821,Laf,Urban,2021,Jul,4,2,84,93,76,88,55,8
Jun2LFvid3,Laf,Urban,2020,Jun,2,7,77.63,77.63,77.63,82,53,33
vid9_LF_Jul621,Laf,Urban,2021,Jul,1,2,84,91,74,89,46,8
vid5LFsept2821,Laf,Urban,2021,Sept,2,2,78,90,68,84,44,8
vid9_LFaug2021,Laf,Urban,2021,Aug,2,2,83,91,75,88,55,7
AUGHLLF6,Laf,Urban,2019,Aug,2,8,79.3,93,69,88,61,14
Vid2LFjun202019,Laf,Urban,2019,Jun,3,2,81,93,71,76,42,33
vid9_LF_jun2721,Laf,Urban,2021,Jun,2,1,79,90,75,87,61,13
vid8_LF_Jul621,Laf,Urban,2021,Jul,2,2,84,91,74,89,46,8
vid10_LFaug2021,Laf,Urban,2021,Aug,3,1,83,91,75,88,55,7
Aug2LF6,Laf,Urban,2020,Aug,2,1,76,86,68,82,60,14
Jun2LFvid1,Laf,Urban,2020,Jun,2,1,77.63,77.63,77.63,82,53,33
vid13_LFaug2021,Laf,Urban,2021,Aug,1,2,83,91,75,88,55,7
vid11_LFaug2021,Laf,Urban,2021,Aug,1,1,83,91,75,88,55,7
vid7_LF_aug1121,Laf,Urban,2021,Aug,2,3,88,96,81,91,51,9
AUGHLLF1,Laf,Urban,2019,Aug,1,2,78.8,89,71,87,61,14
LF.9.14.21vid2,Laf,Urban,2021,Sept,2,2,80,92,74,87,55,10
vid4_LFaug2021,Laf,Urban,2021,Aug,2,1,83,91,75,88,55,9
vid6_LF_aug1121,Laf,Urban,2021,Aug,1,2,88,96,81,91,51,9
JunHLLF6,Laf,Urban,2019,Jun,1,2,84.8,94,76,88,52,33
AUGHLLF5,Laf,Urban,2019,Aug,1,1,79.3,93,69,88,61,14
Jul15LF,Laf,Urban,2020,Jul,2,1,78.6,92,69,84,75,18
vid5_LF_aug1121,Laf,Urban,2021,Aug,1,3,88,96,81,91,51,9
vid7_LF_jul2821,Laf,Urban,2021,Jul,1,1,85,94,74,89,53,8
vid2_LFjun921,Laf,Urban,2021,Jun,1,1,77,86,71,81,67,11
vid4_LF_aug1121,Laf,Urban,2021,Aug,2,1,88,96,81,91,51,9
Vid3LFjun62019,Laf,Urban,2019,Jun,2,1,81,95,66,88,52,33
Aug2LF4,Laf,Urban,2020,Aug,1,1,76,86,68,82,60,14
JuneHLLF2,Laf,Urban,2019,Jun,1,3,78.2,92,70,89,55,33
vid3_LF_jul2821,Laf,Urban,2021,Jul,1,4,85,94,74,89,53,8
vid1_LFjun921,Laf,Urban,2021,Jun,1,1,77,86,71,81,67,11
vid1_LF_Jun2021,Laf,Urban,2021,Jun,1,2,84,92,76,90,57,13
Jun25LFvid2,Laf,Urban,2020,Jun,1,1,76.92,88,61,83.5,44,33
JulyHLLF4,Laf,Urban,2019,Jul,3,5,80.54,88,72,84,53,18
vid2.LF9.8.21,Laf,Urban,2021,Sept,2,3,75,84,64,81,40,9
vid4_LF_sept2821,Laf,Urban,2021,Sept,3,4,78,90,68,84,44,8
JuneHLLF4,Laf,Urban,2019,Jun,4,7,78.2,92,70,89,55,33
Sept7LF4,Laf,Urban,2020,Sept,2,4,82,91,75,88,57,8
vid2_LF_sept2821,Laf,Urban,2021,Sept,2,2,78,90,68,84,44,8
vid3_LFaug2021,Laf,Urban,2021,Aug,2,1,83,91,75,88,55,9
JulyHLLF8,Laf,Urban,2019,Jul,2,3,77.2,84,71,82,51,18
vid10_LF_Jun2021,Laf,Urban,2021,Jun,2,1,84,92,76,90,57,13
